epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.62459,1.02085,0.4,1,1.09898,3.57e-05,3.57e-05,3.57e-05
2,7.16833,0.94888,0.56,1,0.98955,7.77625e-05,7.77625e-05,7.77625e-05
3,10.1009,0.83652,0.68,1,0.89206,0.000118977,0.000118977,0.000118977
4,12.8505,0.76555,0.68,1,0.82902,0.000159343,0.000159343,0.000159343
5,15.7538,0.72412,0.68,1,0.78534,0.00019886,0.00019886,0.00019886
6,18.6655,0.69186,0.68,1,0.73611,0.00023753,0.00023753,0.00023753
7,21.5369,0.6137,0.68,1,0.6755,0.000275351,0.000275351,0.000275351
8,24.4688,0.50852,0.68,1,0.6111,0.000312324,0.000312324,0.000312324
9,27.3984,0.47529,0.84,1,0.5627,0.000348449,0.000348449,0.000348449
10,31.0408,0.41589,0.88,1,0.5302,0.000383726,0.000383726,0.000383726
11,35.5948,0.38827,0.92,1,0.50153,0.000418154,0.000418154,0.000418154
12,39.7696,0.36334,0.88,1,0.48568,0.000451734,0.000451734,0.000451734
13,43.5882,0.29371,0.88,1,0.45266,0.000484466,0.000484466,0.000484466
14,47.3223,0.25664,0.92,1,0.4188,0.00051635,0.00051635,0.00051635
15,49.9575,0.18177,0.92,1,0.39449,0.000547385,0.000547385,0.000547385
16,52.5275,0.19324,0.92,1,0.34078,0.000577572,0.000577572,0.000577572
17,55.1296,0.16217,0.92,1,0.32823,0.000600902,0.000600902,0.000600902
18,57.621,0.13333,0.92,1,0.30248,0.000593834,0.000593834,0.000593834
19,60.1023,0.1023,0.92,1,0.2901,0.000586765,0.000586765,0.000586765
20,62.5886,0.10069,0.92,1,0.26456,0.000579697,0.000579697,0.000579697
21,64.9964,0.15493,0.92,1,0.25918,0.000572628,0.000572628,0.000572628
22,67.4494,0.06207,0.92,1,0.2165,0.000565559,0.000565559,0.000565559
23,69.8814,0.0682,0.92,1,0.20748,0.000558491,0.000558491,0.000558491
24,72.3678,0.11253,0.92,1,0.19907,0.000551422,0.000551422,0.000551422
25,74.9909,0.08266,0.92,1,0.18826,0.000544354,0.000544354,0.000544354
26,77.584,0.04628,0.92,1,0.17502,0.000537285,0.000537285,0.000537285
27,79.8916,0.06744,0.96,1,0.17604,0.000530216,0.000530216,0.000530216
28,82.2926,0.03134,0.96,1,0.1616,0.000523148,0.000523148,0.000523148
29,84.9858,0.03074,0.96,1,0.15311,0.000516079,0.000516079,0.000516079
30,87.5676,0.02293,0.96,1,0.12562,0.000509011,0.000509011,0.000509011
31,90.4449,0.03945,0.96,1,0.12058,0.000501942,0.000501942,0.000501942
32,93.0936,0.03574,0.96,1,0.11629,0.000494873,0.000494873,0.000494873
33,95.9169,0.01557,0.96,1,0.10725,0.000487805,0.000487805,0.000487805
34,98.7284,0.04845,0.96,1,0.10562,0.000480736,0.000480736,0.000480736
35,101.531,0.04985,0.92,1,0.1198,0.000473668,0.000473668,0.000473668
36,104.402,0.01726,0.92,1,0.12058,0.000466599,0.000466599,0.000466599
37,107.623,0.02639,0.92,1,0.12906,0.00045953,0.00045953,0.00045953
38,110.718,0.01221,0.92,1,0.13277,0.000452462,0.000452462,0.000452462
39,113.979,0.01938,0.92,1,0.14855,0.000445393,0.000445393,0.000445393
40,116.97,0.01052,0.92,1,0.13308,0.000438325,0.000438325,0.000438325
41,120.048,0.02007,0.92,1,0.12255,0.000431256,0.000431256,0.000431256
42,123.356,0.0819,0.96,1,0.10854,0.000424187,0.000424187,0.000424187
43,126.449,0.0435,0.96,1,0.1095,0.000417119,0.000417119,0.000417119
44,129.508,0.02591,0.96,1,0.10678,0.00041005,0.00041005,0.00041005
45,132.718,0.05401,0.96,1,0.11554,0.000402982,0.000402982,0.000402982
46,135.953,0.02573,0.96,1,0.1346,0.000395913,0.000395913,0.000395913
47,139.052,0.03943,0.96,1,0.13673,0.000388844,0.000388844,0.000388844
48,142.217,0.01562,0.96,1,0.13807,0.000381776,0.000381776,0.000381776
49,145.391,0.01101,0.96,1,0.12829,0.000374707,0.000374707,0.000374707
50,148.472,0.02698,0.96,1,0.13023,0.000367639,0.000367639,0.000367639
51,151.634,0.00706,0.96,1,0.13615,0.00036057,0.00036057,0.00036057
52,154.782,0.02031,0.96,1,0.14841,0.000353501,0.000353501,0.000353501
53,157.917,0.01344,0.96,1,0.15323,0.000346433,0.000346433,0.000346433
54,160.934,0.00638,0.96,1,0.15428,0.000339364,0.000339364,0.000339364
55,163.697,0.03357,0.96,1,0.13681,0.000332296,0.000332296,0.000332296
56,166.515,0.0035,0.96,1,0.13305,0.000325227,0.000325227,0.000325227
57,169.381,0.04921,0.96,1,0.12769,0.000318158,0.000318158,0.000318158
58,172.156,0.01455,0.96,1,0.1242,0.00031109,0.00031109,0.00031109
59,175.045,0.047,0.92,1,0.12771,0.000304021,0.000304021,0.000304021
60,177.895,0.01903,0.92,1,0.11811,0.000296953,0.000296953,0.000296953
61,180.848,0.02752,0.92,1,0.11876,0.000289884,0.000289884,0.000289884
62,183.844,0.01102,0.92,1,0.11492,0.000282815,0.000282815,0.000282815
63,186.777,0.00726,0.92,1,0.11672,0.000275747,0.000275747,0.000275747
64,189.382,0.03788,0.92,1,0.12824,0.000268678,0.000268678,0.000268678
65,191.888,0.00506,0.92,1,0.11363,0.00026161,0.00026161,0.00026161
66,194.408,0.05173,0.88,1,0.12925,0.000254541,0.000254541,0.000254541
67,196.887,0.02306,0.88,1,0.13436,0.000247472,0.000247472,0.000247472
68,199.566,0.04206,0.88,1,0.14084,0.000240404,0.000240404,0.000240404
69,202.049,0.01169,0.88,1,0.13523,0.000233335,0.000233335,0.000233335
70,204.788,0.00787,0.88,1,0.13546,0.000226267,0.000226267,0.000226267
71,207.585,0.01915,0.92,1,0.14683,0.000219198,0.000219198,0.000219198
72,210.037,0.0276,0.88,1,0.15591,0.000212129,0.000212129,0.000212129
73,212.908,0.04854,0.88,1,0.14379,0.000205061,0.000205061,0.000205061
74,215.636,0.01522,0.88,1,0.13804,0.000197992,0.000197992,0.000197992
75,218.358,0.00526,0.92,1,0.13658,0.000190924,0.000190924,0.000190924
76,221.128,0.01072,0.92,1,0.14435,0.000183855,0.000183855,0.000183855
77,223.811,0.01392,0.92,1,0.14021,0.000176786,0.000176786,0.000176786
78,226.603,0.00632,0.92,1,0.13612,0.000169718,0.000169718,0.000169718
79,229.342,0.00959,0.92,1,0.14228,0.000162649,0.000162649,0.000162649
80,232.197,0.00443,0.92,1,0.14036,0.000155581,0.000155581,0.000155581
81,235.093,0.01549,0.92,1,0.13289,0.000148512,0.000148512,0.000148512
82,237.831,0.00908,0.92,1,0.13722,0.000141443,0.000141443,0.000141443
83,240.435,0.01218,0.92,1,0.14508,0.000134375,0.000134375,0.000134375
84,243.172,0.00509,0.92,1,0.12646,0.000127306,0.000127306,0.000127306
85,245.976,0.01393,0.92,1,0.12812,0.000120238,0.000120238,0.000120238
86,248.763,0.00636,0.92,1,0.13558,0.000113169,0.000113169,0.000113169
87,251.652,0.00539,0.92,1,0.12471,0.0001061,0.0001061,0.0001061
88,254.428,0.00545,0.92,1,0.1331,9.90318e-05,9.90318e-05,9.90318e-05
89,257.107,0.01517,0.92,1,0.13518,9.19632e-05,9.19632e-05,9.19632e-05
90,259.697,0.02149,0.92,1,0.14176,8.48946e-05,8.48946e-05,8.48946e-05
91,262.193,0.00727,0.92,1,0.14116,7.7826e-05,7.7826e-05,7.7826e-05
92,264.742,0.00319,0.92,1,0.13856,7.07574e-05,7.07574e-05,7.07574e-05
93,267.491,0.02959,0.92,1,0.1415,6.36888e-05,6.36888e-05,6.36888e-05
94,270.311,0.01749,0.92,1,0.13557,5.66202e-05,5.66202e-05,5.66202e-05
95,273.176,0.00958,0.92,1,0.1326,4.95516e-05,4.95516e-05,4.95516e-05
96,276.105,0.0072,0.92,1,0.12647,4.2483e-05,4.2483e-05,4.2483e-05
97,278.977,0.01939,0.92,1,0.12319,3.54144e-05,3.54144e-05,3.54144e-05
98,281.787,0.00395,0.92,1,0.12127,2.83458e-05,2.83458e-05,2.83458e-05
99,284.784,0.00823,0.92,1,0.1077,2.12772e-05,2.12772e-05,2.12772e-05
100,287.851,0.00911,0.92,1,0.13462,1.42086e-05,1.42086e-05,1.42086e-05
